date,time,content,important,sectors
2026-06-27,2026-06-27 10:06:21,"【金十数据整理：中东局势跟踪（6月27日）】<br/><b>①伊朗</b><br/><span class=""section-news"">1. 伊朗革命卫队打击美军驻点以回应遇袭。</span><br/><span class=""section-news"">2. 伊朗武装部队哈塔姆安比亚中央总部：如果美国无法约束以色列，伊朗将不会容忍任何对自身的威胁，并保留回应的权利。</span><br/><span class=""section-news"">3. 伊朗外交部：伊朗外交部认为，美国国务卿鲁比奥与海湾合作委员会外长于2026年6月25日发表的联合声明中所持立场具有干预性、不负责任且具有挑衅性，并地区好战及干预行为的持续提出警告。</span><br/><span class=""section-news"">4. 伊朗副外长：任何通过海峡的框架必须与伊朗协调，否则将导致指定航线的暂停。</span><br/><span class=""section-news"">5. 伊朗努尔新闻报道称，伊朗锡里克地区传出爆炸声，来源不明。</span><br/><span class=""section-news"">6. 伊朗革命卫队：美军袭击伊朗南部锡里克地区，伊方已击退此次袭击；伊朗将对美方行动作出迅速而果断的回应。 </span><br/><span class=""section-news"">7. 伊朗议会国家安全委员会主席：特朗普既不遵守谈判原则，也不遵守停火协议。美方这种鲁莽破坏停火的行为，最终将迫使其退让并后悔。</span><br/><b>②美国</b><br/><span class=""section-news"">1. 美军空袭伊朗以回应其袭击商船行为。</span><br/><span class=""section-news"">2. 海合会与美国：重开霍尔木兹海峡至关重要。</span><br/><span class=""section-news"">3. 美国高级官员：美军在霍尔木兹海峡地区袭击了伊朗目标。</span><br/><span class=""section-news"">4. 美国中央司令部：美国对伊朗发动打击，以回应其袭击商船的行为。</span><br/><span class=""section-news"">5. 据CNN援引美国官员报道，美方对伊朗的本轮打击已经结束，至少目前不意味着重启大规模军事行动。</span><br/><b>③以色列</b><br/><span class=""section-news"">1. 以色列国防部长：如果伊朗攻击以色列，将“犯下最大的错误”。</span><br/><span class=""section-news"">2. 以总理：黎真主党解除武装前 以军将驻留黎南部“安全区”。</span><br/><span class=""section-news"">3. 美国、以色列、黎巴嫩签署了三边框架协议。 </span><br/><b>④霍尔木兹海峡</b><br/><span class=""section-news"">1. 阿曼湾船只遇袭后，国际海事组织暂停霍尔木兹海峡船舶撤离计划。</span><br/><span class=""section-news"">2. 美军施压伊朗“免费通行”，阿曼左右逢源态度摇摆。</span><br/><span class=""section-news"">3. 伊朗外交部：霍尔木兹海峡位于伊朗和阿曼两个沿岸国家的领水之内。关于该海峡航运管理，将以《结束强加战争谅解备忘录》第5段中达成的共识作为行动依据。</span><br/><span class=""section-news"">4. 据伊朗国家电视台报道，三艘试图“未经授权”通过霍尔木兹海峡的外国油轮在伊朗革命卫队海军的警告后已被迫掉头。</span><br/><span class=""section-news"">5. 伊媒：美伊已就霍尔木兹海峡建立沟通渠道，以避免军事冲突。</span><br/><span class=""section-news"">6. 阿曼告知欧洲盟友：通过霍尔木兹海峡的船舶可能需支付费用。</span><br/><span class=""section-news"">7. 伊朗和阿曼海关负责人提议成立联合委员会以落实海关协议。</span><br/><span class=""section-news"">8. 特朗普：伊朗向穿越海峡的船只发射无人机是对停火协议的愚蠢违反。</span><br/><span class=""section-news"">9. 伊朗否认伊美就霍尔木兹海峡问题建立沟通热线。</span><br/><b>⑤其他情况</b><br/><span class=""section-news"">1. 美伊下一轮技术性谈判将于6月28日和29日举行。</span><br/><span class=""section-news"">2. 据NewsNation：一位美国官员表示，尽管特朗普称伊朗违反了停火协议，但美伊之间的谈判预计仍将继续进行。</span><br/><span class=""section-news"">3. 马克龙：法国和意大利希望建立多国联盟支持黎巴嫩。</span><br/><span class=""section-news"">4. 黎巴嫩真主党领导人纳伊姆·卡西姆：谅解备忘录是美国和以色列正式宣告失败的声明。以色列必须“无条件”撤离黎巴嫩。</span><br/><span class=""section-news"">5. 阿联酋发布导弹警报后旋即解除，官方解释系技术故障导致误发警报。</span><br/><span class=""section-news"">6. 黎巴嫩真主党拒绝接受以黎协议。</span><br/><span class=""section-news"">7. 国际原子能机构：已获准核查伊朗核设施，技术层面的工作已启动。</span>",1,军工,strong
2026-06-27,2026-06-27 10:05:18,【联合国官员称委强震超5万人失联 委官方未确认】金十数据6月27日讯，联合国分管人道主义事务的副秘书长兼紧急救援协调员汤姆·弗莱彻26日说，委内瑞拉强震后仍有超过5万人失联。目前，这一数据尚未得到委内瑞拉官方确认。弗莱彻在接受法新社采访时说：“（委内瑞拉强震中）有超过5万人失联……因此清理废墟的任务非常艰巨。”另据一个委内瑞拉民众自发报告地震失踪人员信息的网站公布的数据，仍有超5.3万人失联。,0,综合,medium
2026-06-27,2026-06-27 09:53:43,伊朗局势三大焦点仍无突破。韩股波动有增无减，美光财报点燃存储热情，海力士拟赴美募资，苹果涨价。英国将迎十年第七位首相，美元看空叙事退潮？本周你错过哪些刺激行情？,1,半导体,strong
2026-06-27,2026-06-27 09:36:57,【国家统计局：1—5月份规模以上原材料制造业利润同比增长83.1%】金十数据6月27日讯，国家统计局工业司首席统计师于卫宁解读2026年1—5月份工业企业利润数据。于卫宁表示，原材料制造业利润快速增长。1—5月份，规模以上原材料制造业利润同比增长83.1%，拉动全部规模以上工业企业利润增长10.2个百分点。从行业看，受新能源、人工智能等新兴产业需求增加带动，铜、铝等产品价格维持在较高水平，推动有色行业利润增长117.1%，拉动全部规模以上工业企业利润增长5.3个百分点；在石油产业链条相关产品价格上涨推动下，石油加工行业同比扭亏为盈，化工行业利润增长71.6%。,0,"半导体,新能源,能源,大宗商品",strong
2026-06-27,2026-06-27 09:35:59,【国家统计局：1—5月份电子专用材料制造、电子电路制造行业利润分别增长665.4%、19.7%】金十数据6月27日讯，国家统计局工业司首席统计师于卫宁解读2026年1—5月份工业企业利润数据。于卫宁表示，高技术制造业利润保持两位数增长。1—5月份，规模以上高技术制造业利润同比增长44.7%，拉动全部规模以上工业企业利润增长8.0个百分点，引领作用持续凸显。从行业看，半导体产业链条行业发展向好，电子器件制造方面，光电子器件制造、半导体分立器件制造行业利润分别增长53.8%、40.6%；电子元件及电子专用材料制造方面，电子专用材料制造、电子电路制造行业利润分别增长665.4%、19.7%。医疗设备器材相关行业利润增长较快，口腔科用设备及器具制造、卫生材料及医药用品制造行业利润分别增长26.4%、23.2%。,0,"半导体,医药",strong
2026-06-27,2026-06-27 09:34:13,【国家统计局：1—5月份电子行业利润增长103.9% 对全部规模以上工业企业利润增长的贡献率达43.1%】金十数据6月27日讯，国家统计局工业司首席统计师于卫宁解读2026年1—5月份工业企业利润数据。于卫宁表示，电子行业支撑作用明显。1—5月份，规模以上装备制造业利润同比增长14.1%，拉动全部规模以上工业企业利润增长5.2个百分点。从行业看，全球人工智能技术变革带来高端算力芯片和存储芯片需求爆发，推动电子行业利润高速增长，1—5月份，电子行业利润增长103.9%，对全部规模以上工业企业利润增长的贡献率达43.1%，是规模以上工业企业利润较快增长的重要支撑。,1,半导体,strong
2026-06-27,2026-06-27 09:33:23,【2026年1—5月份全国规模以上工业企业利润增长18.8%】金十数据6月27日讯，1—5月份，全国规模以上工业企业实现利润总额31439.6亿元，同比增长18.8%。1—5月份，规模以上工业企业中，国有控股企业实现利润总额10486.6亿元，同比增长19.6%；股份制企业实现利润总额24348.1亿元，增长24.1%；外商及港澳台投资企业实现利润总额6957.2亿元，增长4.2%；私营企业实现利润总额7726.5亿元，增长10.7%。,0,综合,medium
2026-06-27,2026-06-27 09:32:04,中国5月规模以上工业企业利润年率 21.1%，前值24.70%。,0,综合,medium
2026-06-27,2026-06-27 09:30:22,中国5月今年迄今规模以上工业企业利润年率 18.8%，前值18.20%。,0,综合,medium
2026-06-27,2026-06-27 09:25:27,【伊朗高级官员：特朗普不遵守谈判和停火原则】金十数据6月27日讯，伊朗伊斯兰议会国家安全委员会主席易卜拉欣·阿齐兹27日表示，美国在与伊朗谈判期间再次袭击伊朗，美国总统特朗普既不遵守谈判原则，也不遵守停火原则。阿齐兹在社交媒体上发文说，美国违反停火协议的行为“鲁莽”，伊方“将一如既往地令其退缩与后悔”，“推卸责任的把戏已不再奏效”。,0,互联网,medium
